Feature,Importance
height_of_headcentre_t+1,0.007401641070872045
height_of_headcentre_t-5,0.006974520960641281
distance_between_neck_and_bodycentre_on_z_t-6,0.006252509353414811
height_of_earl_t+4,0.005128095120309817
height_of_neck_t+4,0.005108973025249045
distance_between_neck_and_bcr_on_z_t0,0.005010400466083178
height_of_earr_t-2,0.0048058535582213525
height_of_headcentre_t+4,0.004731282364130844
height_of_earl_t+5,0.004691075779658305
standard_deviation_headcentre_t+8,0.004681712810792452
standard_deviation_headcentre_t+11,0.004398364976854672
height_of_headcentre_t+10,0.004179386715398197
height_of_headcentre_t+5,0.00417645516842077
distance_between_neck_and_bodycentre_on_z_t-1,0.004138787339732036
height_of_earr_t-1,0.00404901051704581
height_of_earr_t-3,0.004037553534044595
height_of_headcentre_t0,0.003996802163842938
standard_deviation_headcentre_t+3,0.003976127862225195
standard_deviation_headcentre_t+10,0.003927941301598091
distance_between_bcl_and_hipl_on_z_t-2,0.003922522316973019
distance_between_neck_and_bodycentre_on_z_t+3,0.0037208232062469677
height_of_neck_t-1,0.003659940238335421
height_of_earl_t+8,0.0035610852268097458
distance_between_neck_and_bodycentre_on_z_t0,0.0035237400701019776
height_of_earr_t+1,0.003423022015922065
standard_deviation_headcentre_t+1,0.0033948333053036308
height_of_neck_t+5,0.003378405107286823
height_of_earl_t-3,0.0033656211511532796
height_of_headcentre_t-9,0.003359480624416095
standard_deviation_headcentre_t+14,0.003347413343129274
distance_between_neck_and_bodycentre_on_z_t-2,0.003259277041276725
height_of_headcentre_t-4,0.0032588098237672438
standard_deviation_headcentre_t+5,0.003203392615664281
distance_between_neck_and_bodycentre_on_z_t+2,0.003187141626455927
height_of_earr_t-7,0.003082813392723238
height_of_earr_t-12,0.0030383601176035497
standard_deviation_headcentre_t+13,0.0030262415572450273
height_of_neck_t+3,0.0030114764855931355
distance_between_neck_and_bodycentre_on_z_t-4,0.002954584320005393
height_of_neck_t+2,0.0029332224713589563
height_of_earl_t-10,0.0029096031176919263
height_of_headcentre_t+12,0.0028985950590148498
distance_between_bodycentre_and_tailbase_on_z_t+7,0.002886022229829534
height_of_earr_t+2,0.002877937737183173
height_of_headcentre_t+9,0.0028751470083027315
distance_between_neck_and_bodycentre_on_z_t+6,0.002850143934201957
standard_deviation_headcentre_t+12,0.002846918556000838
standard_deviation_headcentre_t-9,0.0027903973384828746
distance_between_bodycentre_and_tailbase_on_z_t-1,0.002780327933043904
height_of_earr_t-5,0.0027768903125565416
height_of_earr_t+9,0.0027527464631148264
height_of_earl_t-1,0.0027225894777203326
standard_deviation_headcentre_t-3,0.0027071332856596036
distance_between_bodycentre_and_tailbase_on_z_t-6,0.002679657271887009
height_of_neck_t+1,0.0026745929179689885
height_of_neck_t-3,0.0025977951915895285
height_of_earl_t+2,0.0025563775399117866
standard_deviation_headcentre_t-2,0.0025495842184893097
height_of_headcentre_t-1,0.00254864421786238
height_of_headcentre_t-3,0.0025252690601125665
height_of_neck_t+6,0.002503062773517561
distance_between_bcl_and_hipl_on_z_t+1,0.002500868153189004
distance_between_bodycentre_and_tailbase_on_z_t-7,0.002489714372630604
height_of_earl_t+10,0.002400312625492993
distance_between_neck_and_bcr_on_z_t+3,0.0023694426264172933
distance_between_neck_and_bodycentre_on_x_t0,0.002310726807800002
distance_between_neck_and_bodycentre_on_z_t-10,0.0022834522923620205
height_of_earr_t0,0.0022375606157869943
standard_deviation_headcentre_t+4,0.0022198931614572565
height_of_bcr_t-6,0.002211156340571927
distance_between_neck_and_bcr_on_z_t+5,0.002198578636907714
angle_from_tailbase_bodycentre_to_tailbase_hipr_in_xy_t+6,0.0021719781692508063
height_of_headcentre_t+14,0.002148758448441782
distance_between_neck_and_bodycentre_on_z_t-5,0.0021279256200845815
distance_between_neck_and_bodycentre_on_z_t+13,0.002119066584579665
distance_between_neck_and_bcl_on_z_t+7,0.0021169126884277778
distance_between_bodycentre_and_tailbase_on_x_t-10,0.0020574882135844914
standard_deviation_headcentre_t-6,0.002041120694930855
height_of_earl_t-9,0.002035179148562642
distance_between_neck_and_bcl_on_z_t+3,0.0019919816644262383
height_of_neck_t-10,0.0019826155880539394
standard_deviation_headcentre_t+9,0.0019312177788876781
height_of_headcentre_t+13,0.0018883554873628337
height_of_earl_t+9,0.001864824248137592
distance_between_neck_and_bodycentre_on_z_t+5,0.0018574023435925324
angle_from_tailbase_bodycentre_to_tailbase_hipr_in_xy_t+2,0.0018394429064127204
distance_between_bodycentre_and_tailbase_on_z_t-4,0.0018284480773918263
distance_between_bodycentre_and_tailbase_on_y_t-10,0.001823863430429658
height_of_earr_t+14,0.001805198895134884
distance_between_neck_and_bodycentre_on_z_t-13,0.0017930224977903858
distance_between_bodycentre_and_tailbase_on_x_t-7,0.001792768322925038
standard_deviation_headcentre_t0,0.0017867012916362248
distance_between_bcl_and_hipl_on_z_t+7,0.0017825237290799367
distance_between_bodycentre_and_tailbase_on_y_t+1,0.0017757929562827307
height_of_bodycentre_t-13,0.0017710421339677072
distance_between_bcl_and_hipl_on_z_t+9,0.0017468180600797704
distance_between_bodycentre_and_tailbase_on_y_t0,0.0017356000223402446
distance_between_neck_and_bcr_on_z_t-8,0.0017332978051222312
speed_of_headcentre_in_xyz_t-1,0.0017318421579733245
distance_between_bodycentre_and_tailbase_on_x_t-1,0.0017281285233570049
height_of_earr_t-9,0.0017257125294083803
height_of_headcentre_t+6,0.001722303286279718
distance_between_bcl_and_hipl_on_z_t0,0.0017204866925944592
distance_between_bodycentre_and_tailbase_on_y_t-3,0.0017078312309706841
speed_of_tailbase_in_xyz_t-1,0.0017064682965297082
distance_between_bodycentre_and_tailbase_on_x_t+3,0.0017019240768995402
distance_between_bodycentre_and_tailbase_on_y_t-1,0.0016886156727201056
angle_from_tailbase_bodycentre_to_tailbase_hipl_in_xy_t-2,0.0016817103533062238
distance_between_bodycentre_and_tailbase_on_z_t+9,0.0016752828113515347
height_of_neck_t-2,0.0016729019229294495
distance_between_bodycentre_and_hipr_on_z_t0,0.0016488815723379655
